id,name,ec,gene,organism,uniprot
enz_ec_1_1_1_161,EC 1.1.1.161,1.1.1.161,,,
enz_ec_1_1_1_177,EC 1.1.1.177,1.1.1.177,,,
enz_ec_1_1_1_183,EC 1.1.1.183,1.1.1.183,,,
enz_ec_1_1_1_184,EC 1.1.1.184,1.1.1.184,,,
enz_ec_1_1_1_19,EC 1.1.1.19,1.1.1.19,,,
enz_ec_1_1_1_194,EC 1.1.1.194,1.1.1.194,,,
enz_ec_1_1_1_195,EC 1.1.1.195,1.1.1.195,,,
enz_ec_1_1_1_216,EC 1.1.1.216,1.1.1.216,,,
enz_ec_1_1_1_23,EC 1.1.1.23,1.1.1.23,,,
enz_ec_1_1_1_273,EC 1.1.1.273,1.1.1.273,,,
enz_ec_1_1_1_276,EC 1.1.1.276,1.1.1.276,,,
enz_ec_1_1_1_300,EC 1.1.1.300,1.1.1.300,,,
enz_ec_1_1_1_315,EC 1.1.1.315,1.1.1.315,,,
enz_ec_1_1_1_317,EC 1.1.1.317,1.1.1.317,,,
enz_ec_1_1_1_324,EC 1.1.1.324,1.1.1.324,,,
enz_ec_1_1_1_347,EC 1.1.1.347,1.1.1.347,,,
enz_ec_1_1_1_354,EC 1.1.1.354,1.1.1.354,,,
enz_ec_1_1_1_365,EC 1.1.1.365,1.1.1.365,,,
enz_ec_1_1_1_373,EC 1.1.1.373,1.1.1.373,,,
enz_ec_1_1_1_405,EC 1.1.1.405,1.1.1.405,,,
enz_ec_1_1_1_54,EC 1.1.1.54,1.1.1.54,,,
enz_ec_1_1_1_55,EC 1.1.1.55,1.1.1.55,,,
enz_ec_1_1_1_60,EC 1.1.1.60,1.1.1.60,,,
enz_ec_1_1_1_71,EC 1.1.1.71,1.1.1.71,,,
enz_ec_1_1_1_77,EC 1.1.1.77,1.1.1.77,,,
enz_ec_1_1_3_39,EC 1.1.3.39,1.1.3.39,,,
enz_ec_1_1_3_43,EC 1.1.3.43,1.1.3.43,,,
enz_ec_1_1_3_44,EC 1.1.3.44,1.1.3.44,,,
enz_ec_1_1_3_48,EC 1.1.3.48,1.1.3.48,,,
enz_ec_1_1_3_7,EC 1.1.3.7,1.1.3.7,,,
enz_ec_1_1_3_9,EC 1.1.3.9,1.1.3.9,,,
enz_ec_1_1_99_36,EC 1.1.99.36,1.1.99.36,,,
enz_ec_1_11_1_7,EC 1.11.1.7,1.11.1.7,,,
enz_ec_1_14_13_15,EC 1.14.13.15,1.14.13.15,,,
enz_ec_1_14_13_72,EC 1.14.13.72,1.14.13.72,,,
enz_ec_1_14_14_1,EC 1.14.14.1,1.14.14.1,,,
enz_ec_1_14_15_15,EC 1.14.15.15,1.14.15.15,,,
enz_ec_1_3_1_20,EC 1.3.1.20,1.3.1.20,,,
enz_ec_2_7_1_177,EC 2.7.1.177,2.7.1.177,,,
enz_ec_1_1_1_38,EC 1.1.1.38,1.1.1.38,,,
enz_ec_1_1_1_39,EC 1.1.1.39,1.1.1.39,,,
enz_ec_1_1_1_42,EC 1.1.1.42,1.1.1.42,,,
enz_ec_1_1_1_83,EC 1.1.1.83,1.1.1.83,,,
enz_ec_2_1_1_246,EC 2.1.1.246,2.1.1.246,,,
enz_ec_2_1_1_90,EC 2.1.1.90,2.1.1.90,,,
enz_ec_1_1_1_299,EC 1.1.1.299,1.1.1.299,,,
enz_ec_1_1_1_37,EC 1.1.1.37,1.1.1.37,,,
enz_ec_1_1_1_82,EC 1.1.1.82,1.1.1.82,,,
enz_ec_1_1_3_3,EC 1.1.3.3,1.1.3.3,,,
enz_ec_1_1_5_4,EC 1.1.5.4,1.1.5.4,,,
enz_ec_1_1_99_16,EC 1.1.99.16,1.1.99.16,,,
enz_ec_4_2_3_3,EC 4.2.3.3,4.2.3.3,,,
enz_ec_5_5_1_4,EC 5.5.1.4,5.5.1.4,,,
enz_ec_1_2_1_27,EC 1.2.1.27,1.2.1.27,,,
enz_ec_1_1_1_298,EC 1.1.1.298,1.1.1.298,,,
enz_ec_1_1_1_59,EC 1.1.1.59,1.1.1.59,,,
enz_ec_2_7_1_23,EC 2.7.1.23,2.7.1.23,,,
enz_ec_3_5_1_32,EC 3.5.1.32,3.5.1.32,,,
enz_ec_3_6_1_23,EC 3.6.1.23,3.6.1.23,,,
enz_ec_3_6_1_58,EC 3.6.1.58,3.6.1.58,,,
enz_ec_3_6_1_6,EC 3.6.1.6,3.6.1.6,,,
enz_ec_3_6_1_64,EC 3.6.1.64,3.6.1.64,,,
enz_ec_3_5_1_106,EC 3.5.1.106,3.5.1.106,,,
enz_ec_3_5_1_42,EC 3.5.1.42,3.5.1.42,,,
enz_ec_3_5_1_19,EC 3.5.1.19,3.5.1.19,,,
enz_ec_3_5_1_4,EC 3.5.1.4,3.5.1.4,,,
enz_ec_2_4_2_21,EC 2.4.2.21,2.4.2.21,,,
enz_ec_1_5_1_19,EC 1.5.1.19,1.5.1.19,,,
enz_ec_3_1_3_31,EC 3.1.3.31,3.1.3.31,,,
enz_ec_3_1_3_5,EC 3.1.3.5,3.1.3.5,,,
enz_ec_3_1_3_89,EC 3.1.3.89,3.1.3.89,,,
enz_ec_3_6_1_15,EC 3.6.1.15,3.6.1.15,,,
enz_ec_3_6_1_39,EC 3.6.1.39,3.6.1.39,,,
enz_ec_3_6_1_5,EC 3.6.1.5,3.6.1.5,,,
enz_ec_3_6_4_13,EC 3.6.4.13,3.6.4.13,,,
enz_ec_3_1_5_1,EC 3.1.5.1,3.1.5.1,,,
enz_ec_3_5_5_1,EC 3.5.5.1,3.5.5.1,,,
enz_ec_3_2_1_10,EC 3.2.1.10,3.2.1.10,,,
enz_ec_3_2_1_137,EC 3.2.1.137,3.2.1.137,,,
enz_ec_3_2_1_163,EC 3.2.1.163,3.2.1.163,,,
enz_ec_3_2_1_164,EC 3.2.1.164,3.2.1.164,,,
enz_ec_3_2_1_20,EC 3.2.1.20,3.2.1.20,,,
enz_ec_3_2_1_22,EC 3.2.1.22,3.2.1.22,,,
enz_ec_3_2_1_23,EC 3.2.1.23,3.2.1.23,,,
enz_ec_3_2_1_26,EC 3.2.1.26,3.2.1.26,,,
enz_ec_3_2_1_40,EC 3.2.1.40,3.2.1.40,,,
enz_ec_3_2_1_51,EC 3.2.1.51,3.2.1.51,,,
enz_ec_3_2_1_70,EC 3.2.1.70,3.2.1.70,,,
enz_ec_4_1_1_75,EC 4.1.1.75,4.1.1.75,,,
enz_ec_2_1_3_3,EC 2.1.3.3,2.1.3.3,,,
enz_ec_2_1_3_6,EC 2.1.3.6,2.1.3.6,,,
enz_ec_4_1_1_116,EC 4.1.1.116,4.1.1.116,,,
enz_ec_4_1_1_17,EC 4.1.1.17,4.1.1.17,,,
enz_ec_4_1_1_19,EC 4.1.1.19,4.1.1.19,,,
enz_ec_4_1_1_86,EC 4.1.1.86,4.1.1.86,,,
enz_ec_4_3_1_12,EC 4.3.1.12,4.3.1.12,,,
enz_ec_2_6_1_11,EC 2.6.1.11,2.6.1.11,,,
enz_ec_2_6_1_13,EC 2.6.1.13,2.6.1.13,,,
enz_ec_2_3_1_35,EC 2.3.1.35,2.3.1.35,,,
enz_ec_2_1_3_5,EC 2.1.3.5,2.1.3.5,,,
enz_ec_4_1_1_8,EC 4.1.1.8,4.1.1.8,,,
enz_ec_1_2_4_2,EC 1.2.4.2,1.2.4.2,,,
enz_ec_2_6_1_19,EC 2.6.1.19,2.6.1.19,,,
enz_ec_4_1_1_71,EC 4.1.1.71,4.1.1.71,,,
enz_ec_1_2_1_20,EC 1.2.1.20,1.2.1.20,,,
enz_ec_1_2_1_88,EC 1.2.1.88,1.2.1.88,,,
