id,name,ec,source,smarts,ec_list,score,datasets,radius,is_balanced
rr_MNXR100336,RetroRules reaction MNXR100336,1.1,retrorules,[O;H0:1]=[C;H0:2](-[O;H1:3])-[C;H1:4](-[O;H1:5])-[C;H2:6]-[O;H1:7]>>[O;H0:1]=[C;H0:2](-[O;H1:3])-[C;H0:4](=[O;H0:5])-[C;H2:6]-[O;H1:7],1.1;1.1.1;1.1.1.26;1.1.1.27;1.1.1.28;1.1.1.29;1.1.1.291;1.1.1.387;1.1.1.79;1.1.1.81;1.1.1.86,0.4924790561199188,metanetx,10,B
rr_MNXR100338,RetroRules reaction MNXR100338,1.1.3.15,retrorules,[O;H0:1]=[C;H1:2]-[C;H0:3](=[O;H0:4])-[O;H1:5]>>[O;H1:1]-[C;H2:2]-[C;H0:3](=[O;H0:4])-[O;H1:5],1.1.3.15,0.5266404151916504,metanetx,10,B
rr_MNXR100339,RetroRules reaction MNXR100339,1.1.3.15,retrorules,[O;H0:1]=[C;H1:2]-[C;H0:3](=[O;H0:4])-[O;H1:5]>>[O;H1:1]-[C;H2:2]-[C;H0:3](=[O;H0:4])-[O;H1:5],1.1.3.15,0.5266404151916504,metanetx,10,B
rr_MNXR100341,RetroRules reaction MNXR100341,1.1.3.15,retrorules,[O;H0:1]=[C;H1:2]-[C;H0:3](=[O;H0:4])-[O;H1:5]>>[O;H1:1]-[C;H2:2]-[C;H0:3](=[O;H0:4])-[O;H1:5],1.1.3.15,0.5266404151916504,metanetx,10,B
rr_MNXR100354,RetroRules reaction MNXR100354,1.2.1.3,retrorules,[C;H3:1]-[C;H1:2](-[O;H1:3])-[C;H0:4](=[O;H0:5])-[O;H1:6]>>[C;H3:1]-[C;H0:2](=[O;H0:3])-[C;H1:4]=[O;H0:5].[O;H2:6],1.2.1.3;1.2.1.5;4.2.1.130,0.5372849702835083,metanetx,10,B
rr_MNXR100360,RetroRules reaction MNXR100360,3.4.13.18,retrorules,[C;H2:1]-[C;H0:2](=[O;H0:3])-[N;H0:4](-[C;H2:5])-[C;H1:6]>>[N;H1:4](-[C;H2:5])-[C;H1:6].[O;H1]-[C;H0:2](-[C;H2:1])=[O;H0:3],3.4.13.18;3.4.13.9,0.8408964276313782,metanetx,1,B
rr_MNXR100389,RetroRules reaction MNXR100389,1.1.1.343,retrorules,[C;H2:1](-[O;H1:2])-[C;H0:3](=[O;H0:4])-[C;H1:5](-[O;H1:6])-[C;H1:7]>>[O;H0]=[C;H0](-[O;H1])-[C;H1:1](-[O;H1:2])-[C;H1:3](-[O;H1:4])-[C;H1:5](-[O;H1:6])-[C;H1:7],1.1.1.343;1.1.1.351;1.1.1.44,0.46713799238204956,metanetx,2,B
rr_MNXR100410,RetroRules reaction MNXR100410,3.1.4.2,retrorules,[O;H0:1]=[P;H0:2](-[O;H1:3])(-[O;H0:4]-[C;H2:5]-[C;H1:6](-[O;H1:7])-[C;H2:8])-[O;H0:9]-[C;H2:10]-[C;H2:11]-[N;H0:12](-[C;H3:13])(-[C;H3:14])-[C;H3:15]>>[C;H3:13]-[N;H0:12](-[C;H3:14])(-[C;H3:15])-[C;H2:11]-[C;H2:10]-[O;H1:9].[O;H1]-[P;H0:2](=[O;H0:1])(-[O;H1:3])-[O;H0:4]-[C;H2:5]-[C;H1:6](-[O;H1:7])-[C;H2:8],3.1.4.2;3.1.4.46,0.5946035385131836,metanetx,4,B
rr_MNXR100467,RetroRules reaction MNXR100467,3.5.3.17,retrorules,[N;H2:1]-[C;H0:2](-[N;H2:3])=[O;H0:4]>>[O;H0]=[C;H0](-[O;H1])-[C;H2]-[C;H2]-[C;H2]-[N;H1]-[C;H0:2](=[N;H1:1])-[N;H2:3].[O;H2:4],3.5.3.17;3.5.3.7,0.6687403321266174,metanetx,10,B
rr_MNXR100553,RetroRules reaction MNXR100553,1.1.1.291,retrorules,[C;H3:1]-[C;H1:2](-[C;H1:3]=[O;H0:4])-[C;H0:5](=[O;H0:6])-[O;H1:7]>>[C;H3:1]-[C;H1:2](-[C;H2:3]-[O;H1:4])-[C;H0:5](=[O;H0:6])-[O;H1:7],1.1.1.291;1.1.1.31;1.1.1.35,0.5623413324356079,metanetx,10,B
