id,name,smiles,inchikey,kegg,chebi,role,is_monomer,is_currency,formula,charge,mass
cpd_MNXM747783,"(3R,4R)-3,4-dihydroxycyclohexa-1,5-diene-1-carbonyl-CoA",CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C1=C[C@@H](O)[C@H](O)C=C1,IVBQPDODGZRFEX-VMLLLTOESA-J,,,intermediate,false,false,C28H38N7O19P3S,-4,901.63100
cpd_MNXM747805,L-arginyl-AMP,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,AJYPLWAQPDERQG-TWBCTODHSA-O,,,intermediate,false,false,C16H27N9O8P,1,504.42100
cpd_MNXM747810,glycero-2-phosphocholine,C[N+](C)(C)CCOP(=O)([O-])OC(CO)CO,DQBGWLUPOYEQQT-UHFFFAOYSA-N,,,intermediate,false,false,C8H20NO6P,0,257.22300
cpd_MNXM747859,asperphenamate,O=C(N[C@H](COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1,CVULDJMCSSACEO-VMPREFPWSA-N,,,intermediate,false,false,C32H30N2O4,0,506.60200
cpd_MNXM747860,N-benzoyl-L-phenylalaninol,O=C(N[C@H](CO)CC1=CC=CC=C1)C1=CC=CC=C1,RFYNAVYPYXLVOM-HNNXBMFYSA-N,,,intermediate,false,false,C16H17NO2,0,255.31700
cpd_MNXM747935,"2-amino-2-deoxy-6-phospho-D-glucono-1,5-lactone",N[C@H]1C(=O)O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O,BMFNJBCGYNQCSJ-TXICZTDVSA-L,,,intermediate,false,false,C6H10NO8P,-2,255.11900
cpd_MNXM748,L-1-piperideine-6-carboxylate,O=C([O-])[C@@H]1CCCC=N1,CSDPVAKVEWETFG-YFKPBYRVSA-M,,,intermediate,false,false,C6H8NO2,-1,126.13500
cpd_MNXM748056,"(S)-3-(indol-3-ylmethyl)-6,7,8,8a-tetrahydropyrrolo[1,2-a]pyrazin-1-one",O=C1NC(CC2=CNC3=C2C=CC=C3)=CN2CCC[C@@H]12,FJRBFGWVEWZBJD-HNNXBMFYSA-N,,,intermediate,false,false,C16H17N3O,0,267.33200
cpd_MNXM748103,"3-hydroxy-3-(3,4-dihydroxyphenyl)propanoyl-CoA",CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)C1=CC=C(O)C(O)=C1,PIDCKTUHAFJESG-YBHYYHSUSA-J,,,intermediate,false,false,C30H40N7O20P3S,-4,943.66800
cpd_MNXM748113,2-glutaroyl-sn-glycero-3-phosphocholine,C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](CO)OC(=O)CCCC(=O)[O-],MIHNUFMBTFWYCS-LLVKDONJSA-M,,,intermediate,false,false,C13H25NO9P,-1,370.31500
cpd_MNXM748114,2-(5-oxopentanoyl)-sn-glycero-3-phosphocholine,C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](CO)OC(=O)CCCC=O,XSDCTKAQCWOPEH-GFCCVEGCSA-N,,,intermediate,false,false,C13H26NO8P,0,355.32400
cpd_MNXM748115,2-(9-oxononanoyl)-sn-glycero-3-phosphocholine,C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](CO)OC(=O)CCCCCCCC=O,ZOTBEPCAAHROHR-MRXNPFEDSA-N,,,intermediate,false,false,C17H34NO8P,0,411.43200
